"","POSTCODE","Suburb","Top country of birth","rang0n4","rang5n9","rang10n14","rang15n19","rang20n24","rang25n44","rang45n64","rang65n69","rang70n74","rang75n79","rang80n84","above85","total","Born overseas, %","Born in non-English speaking country, %","Top country of birth__1","Top country of birth, persons","Top country of birth, %","Children","Adult","Elderly"
"138",3095,"Eltham North","England",5.7,6.3,8.6,10.2,7.8,21.9,32.3,3.3,2.1,0.8,0.3,0.6,7096,14.6,7.7,"England",582,4.4,20.6,72.2,7.1
"139",3095,"Research","England",4.5,6.6,7.3,9.3,9,20.9,33.2,4.1,1.2,1.7,1.3,0.9,2302,12.5,5.8,"England",202,4.7,18.4,72.4,9.2
"140",3096,"Wattle Glen","England",6.7,6.7,7.3,9,7.2,20.5,28.2,5.6,3,1.4,1.9,2.4,1676,13.5,5.2,"England",176,5.5,20.7,64.9,14.3
"141",3099,"Hurstbridge","England",7.4,7.1,7.5,6.5,6.8,26.6,28.8,4.8,2.4,0.7,1.1,0.5,2800,12,4.3,"England",254,4.8,22,68.7,9.5
"142",3101,"Kew","China",5,5.5,5.5,7,8.3,26.9,25.9,4.8,3.3,2.6,2.4,2.9,25364,28.7,21,"China",1798,4,16,68.1,16
"143",3102,"Kew East","China",5.7,7.2,6.8,6.5,6.6,26,26.4,4.3,3.1,3,2.3,2.2,6212,27.2,21.5,"China",430,3.7,19.7,65.5,14.9
"144",3103,"Balwyn","China",4,5.1,6.7,8.6,8.2,21.7,27.6,4.7,3.2,3.2,3.3,3.6,13646,37.8,30.7,"China",2424,9.7,15.8,66.1,18
"145",3103,"Deepdene","China",3.6,4.7,5.9,7.8,9.7,17.3,27.9,4.9,5.3,3.3,3.5,6.1,2473,29.5,23.5,"China",328,7.3,14.2,62.7,23.1
"146",3104,"Balwyn North","China",4.4,5.8,7.5,9,8,20,28.3,4.1,3.7,2.9,3.1,3.2,21429,35.4,29.2,"China",2926,7.4,17.7,65.3,17
"147",3105,"Bulleen","Italy",5.5,5.4,4.8,5.2,6.1,25.6,24.1,5.5,6.5,5.3,3.8,2.2,11404,40.9,37.6,"Italy",1928,9.2,15.7,61,23.3
"148",3106,"Templestowe","China",4,5.2,5.9,7.1,7.7,21.8,30.1,6.5,4.5,2.9,2,2.3,17354,37.8,30,"China",1526,4.8,15.1,66.7,18.2
"149",3107,"Templestowe Lower","China",5.4,5.3,4.9,5.2,5.4,25,24.4,7,6.8,4.5,2.9,3.2,13790,37.7,32.5,"China",1398,5.6,15.6,60,24.4
"150",3108,"Doncaster","China",4.4,4.5,4.5,5.5,7.1,25.2,25.1,6.3,6,5.2,3.6,2.7,19527,47.5,42.5,"China",3982,11.3,13.4,62.9,23.8
"151",3109,"Doncaster East","China",4.8,5,5.9,6.7,7.2,25.5,26.3,5.5,4.8,3.5,2.6,2.1,28551,44.2,38.1,"China",4278,8.2,15.7,65.7,18.5
"152",3111,"Donvale","China",4.7,5.8,6.5,6.6,6.8,22.8,27.9,6.1,4.3,3.1,2.6,2.8,12173,29.5,22.1,"China",798,3.5,17,64.1,18.9
"153",3113,"Warrandyte","England",4.7,8.1,7.4,7.1,7.8,21.5,31.7,5.1,2.9,1.9,0.9,0.9,5523,19.4,10.5,"England",554,5.4,20.2,68.1,11.7
"154",3113,"North Warrandyte","England",6.7,8.2,7.3,7.9,6.3,23.1,30,4.6,3.5,1,0.9,0.5,2822,16.6,6.4,"England",334,6.4,22.2,67.3,10.5
"155",3114,"Park Orchards","England",4.3,7.7,8.4,8.8,6.6,20.6,29.1,5.8,3.4,2.9,1.6,0.9,3850,17.6,8.9,"England",412,5.8,20.4,65.1,14.6
"156",3115,"Wonga Park","England",4.7,6.7,9.6,10.7,7.8,19.5,32,4.2,2.6,1,0.7,0.4,2793,13.6,5.2,"England",294,5.6,21,70,8.9
"157",3116,"Chirnside Park","England",5.1,6.1,6.7,7.1,8.1,24.9,26.6,5.9,4.1,2.6,1.7,1.1,8624,20.8,10.3,"England",1064,6.6,17.9,66.7,15.4
