Suburb,Population density 2015,year,population
BUNDOORA - NORTH,1454.9,2006,4643
BUNDOORA - WEST,2534.8,2006,6583
EPPING,459,2006,20121
LALOR,1921.7,2006,20172
MILL PARK - NORTH,2282.9,2006,19275
MILL PARK - SOUTH,2468,2006,13408
SOUTH MORANG,992.9,2006,16089
THOMASTOWN,1460.1,2006,21422
WALLAN,29.9,2006,10330
WHITTLESEA,28.2,2006,6778
AIRPORT WEST,2115.4,2006,6878
KEILOR,495.3,2006,8937
KEILOR EAST,2485.6,2006,24945
NIDDRIE - ESSENDON WEST,2518.7,2006,6089
STRATHMORE,2371,2006,8987
GISBORNE,59.6,2006,9823
MACEDON,45.4,2006,3459
RIDDELLS CREEK,48,2006,3648
ROMSEY,14.7,2006,8098
COBURG NORTH,1542.6,2006,6293
FAWKNER,2807.3,2006,12250
GLENROY - HADFIELD,2326.4,2006,26290
PASCOE VALE,3352.1,2006,19436
SUNBURY,102,2006,12210
SUNBURY - SOUTH,197.5,2006,22511
BROADMEADOWS,1505.7,2006,11465
CAMPBELLFIELD - COOLAROO,937.7,2006,15921
CRAIGIEBURN - MICKLEHAM,455.4,2006,23082
GLADSTONE PARK - WESTMEADOWS,1278.3,2006,18148
GREENVALE - BULLA,148.7,2006,11985
MEADOW HEIGHTS,3403.2,2006,15167
MELBOURNE AIRPORT,5.2,2006,133
ROXBURGH PARK - SOMERTON,1895.4,2006,17519
TULLAMARINE,1752.3,2006,6583
BAYSWATER,1517.1,2006,10973
BORONIA - THE BASIN,1562.1,2006,25005
FERNTREE GULLY,1784.9,2006,27730
KNOXFIELD - SCORESBY,924.4,2006,13103
LYSTERFIELD,372.6,2006,6198
ROWVILLE - CENTRAL,1862.4,2006,15980
ROWVILLE - NORTH,1943.9,2006,7965
ROWVILLE - SOUTH,1194.4,2006,10720
WANTIRNA,1696.9,2006,14361
WANTIRNA SOUTH,1392,2006,18278
DONVALE - PARK ORCHARDS,781.4,2006,15992
WARRANDYTE - WONGA PARK,226.6,2006,10411
BAYSWATER NORTH,1212.9,2006,11219
CROYDON,1851.7,2006,28266
CROYDON HILLS - WARRANWOOD,2011.7,2006,18233
RINGWOOD,1744.4,2006,15222
RINGWOOD EAST,2212.4,2006,18532
RINGWOOD NORTH,2071.7,2006,9541
FOREST HILL,2666,2006,10010
MITCHAM (VIC.),2505.8,2006,14852
NUNAWADING,2348.3,2006,10553
VERMONT,2313.3,2006,9705
VERMONT SOUTH,1970.6,2006,11905
BELGRAVE - SELBY,183,2006,10510
CHIRNSIDE PARK,440.2,2006,9212
HEALESVILLE - YARRA GLEN,36.4,2006,12539
KILSYTH,1093.6,2006,8602
LILYDALE - COLDSTREAM,174.8,2006,17169
MONBULK - SILVAN,83.8,2006,5609
MONTROSE,667.7,2006,6739
MOOROOLBARK,1774.2,2006,19863
MOUNT DANDENONG - OLINDA,120.7,2006,9778
MOUNT EVELYN,567.9,2006,9395
UPWEY - TECOMA,1108.5,2006,10096
WANDIN - SEVILLE,69.5,2006,7316
YARRA VALLEY,22.1,2006,15820
BEACONSFIELD - OFFICER,282.2,2006,6837
BUNYIP - GARFIELD,22.7,2006,7848
EMERALD - COCKATOO,49.1,2006,17628
KOO WEE RUP,18.1,2006,5751
PAKENHAM - NORTH,477.8,2006,7557
PAKENHAM - SOUTH,556.6,2006,12437
BERWICK - NORTH,1196.7,2006,21547
BERWICK - SOUTH,1673.7,2006,16331
DOVETON,2185.8,2006,9672
ENDEAVOUR HILLS,1307.4,2006,26861
HALLAM,1366.5,2006,9923
NARRE WARREN,1920,2006,26370
NARRE WARREN NORTH,223.7,2006,6388
CRANBOURNE,1664.9,2006,15071
CRANBOURNE EAST,441.2,2006,4230
CRANBOURNE NORTH,1862.4,2006,9886
CRANBOURNE SOUTH,109.5,2006,5070
CRANBOURNE WEST,967.1,2006,7584
HAMPTON PARK - LYNBROOK,1923.3,2006,22646
LYNBROOK - LYNDHURST,2113,2006,5130
NARRE WARREN SOUTH,2317.4,2006,26160
PEARCEDALE - TOORADIN,78.5,2006,7571
CLARINDA - OAKLEIGH SOUTH,1943.1,2006,12334
CLAYTON SOUTH,1622,2006,10961
DANDENONG,494.8,2006,23246
DANDENONG NORTH,2470.9,2006,22847
DINGLEY VILLAGE,1438,2006,10374
KEYSBOROUGH,810,2006,18050
NOBLE PARK,3678,2006,27024
NOBLE PARK NORTH,2091.4,2006,7804
SPRINGVALE,1973.6,2006,19033
SPRINGVALE SOUTH,2809.5,2006,12064
ASHWOOD - CHADSTONE,2747.7,2006,15612
CLAYTON,2223.1,2006,16442
