POSTCODE,year,occurence
3052,2013,715
3053,2013,"1,912"
3054,2013,615
3055,2013,661
3056,2013,"2,809"
3057,2013,789
3058,2013,"3,273"
3059,2013,485
3060,2013,974
3061,2013,"1,401"
3062,2013,215
3063,2013,21
3064,2013,"4,138"
3065,2013,"2,901"
3066,2013,"1,724"
3067,2013,"1,146"
3068,2013,"1,775"
3070,2013,"1,986"
3071,2013,"1,318"
3072,2013,"5,246"
3073,2013,"3,719"
3074,2013,"2,300"
3075,2013,"1,436"
3076,2013,"3,515"
3078,2013,800
3079,2013,955
3081,2013,"1,886"
3082,2013,"2,051"
3083,2013,"2,150"
3084,2013,"2,400"
3085,2013,"1,740"
3087,2013,557
3088,2013,"1,480"
3089,2013,565
3090,2013,89
3091,2013,78
3093,2013,185
3094,2013,253
3095,2013,943
3096,2013,38
3097,2013,22
3099,2013,159
3101,2013,"1,434"
3102,2013,215
3103,2013,557
3104,2013,585
3105,2013,438
3106,2013,432
3107,2013,360
3108,2013,"1,418"
3109,2013,729
3111,2013,466
3113,2013,200
3114,2013,105
3115,2013,68
3116,2013,598
3121,2013,"4,019"
3122,2013,"1,563"
3123,2013,439
3124,2013,"1,036"
3125,2013,925
3126,2013,251
3127,2013,629
3128,2013,"1,473"
3129,2013,422
3130,2013,"1,120"
3131,2013,"1,255"
3132,2013,771
3133,2013,849
3134,2013,"3,277"
3135,2013,"1,032"
3136,2013,"2,227"
3137,2013,696
3138,2013,951
3139,2013,381
3140,2013,"1,600"
3141,2013,"1,924"
3142,2013,862
3143,2013,365
3144,2013,841
3145,2013,"1,624"
3146,2013,672
3147,2013,868
3148,2013,"1,359"
3149,2013,"1,034"
3150,2013,"1,984"
3151,2013,388
3152,2013,"2,063"
3153,2013,"1,821"
3154,2013,131
3155,2013,"1,556"
3156,2013,"2,056"
3158,2013,299
3159,2013,95
3160,2013,559
3161,2013,545
3162,2013,807
3163,2013,"1,397"
3165,2013,873
3166,2013,"1,695"
3167,2013,499
3168,2013,"1,664"
3169,2013,"1,009"
3170,2013,"1,165"
3171,2013,"1,811"
3172,2013,916
3173,2013,"1,313"
3174,2013,"2,740"
3175,2013,"9,335"
3177,2013,"1,349"
3178,2013,"1,649"
3179,2013,609
3180,2013,491
3181,2013,"3,387"
3182,2013,"4,531"
3183,2013,"1,138"
3184,2013,950
3185,2013,797
3186,2013,"1,183"
3187,2013,546
3188,2013,957
3189,2013,"1,178"
3190,2013,698
3191,2013,541
3192,2013,"1,826"
3193,2013,465
3194,2013,840
3195,2013,"1,884"
3196,2013,"1,351"
3197,2013,721
